Afghanistan , 558, 117, 558.055552840233, 116.983331859112
Albania , 456, 100, 455.555555894971, 100.494443953037
Algeria , 417, 127, 416.833333689719, 127.288886800408
Angola , 452, 211, 452.138889431953, 210.763890117407
Antigua and Barbuda , 269, 150, 269.233333170414, 149.858056820929
Argentina , 264, 255, 264.222218692303, 255.077779129148
Armenia , 512, 103, 512.5, 102.555554941297
Australia , 713, 241, 712.944432497025, 240.650002211332
Austria , 440, 87, 440.370370596647, 87.440739184618
Azerbaijan , 518, 102, 518.194447159767, 101.525002211332
Bahamas, The , 237, 135, 236.888886988163, 135.018057152629
Bahrain , 525, 131, 525.141666829586, 131.411108776927
Bangladesh , 615, 136, 615, 135.533330753446
Barbados , 274, 158, 274.396292567253, 157.862037733197
Belarus , 474, 76, 473.777780085802, 75.7611120939255
Belgium , 419, 80, 419.111111331731, 80.2268534898758
Belize , 208, 149, 207.847223579884, 149.445834070444
Benin , 415, 165, 415.125000076368, 165.419444229454
Bermuda , 263, 118, 262.513886988163, 118.357409536839
Bhutan , 616, 128, 616.138879656792, 128.319445058703
Bolivia , 262, 220, 261.944447159767, 220.038889564574
Bosnia and Herzegovina , 451, 94, 451.000000610948, 94.3111109882593
Botswana , 465, 230, 464.666669517756, 230.34444450587
Brazil , 285, 206, 284.722223579884, 205.611111264676
Brunei Darussalam, 671, 176, 671.185185909271, 175.724999861792
Bulgaria , 467, 96, 466.944447159767, 96.3722219765186
Burkina Faso , 405, 158, 405.444444334134, 158.205554388463
Burundi , 478, 192, 478.333335369825, 192.213889149949
Cambodia , 649, 158, 649.166658520699, 158.205554388463
Cameroon , 437, 173, 437.333334758878, 172.633332688361
Canada , 194, 61, 193.611105680466, 61.3333296477795
Cape Verde , 355, 152, 355.333330482244, 152.022221423686
Central African Republic , 458, 171, 457.833333536983, 170.572221700102
Chad , 453, 154, 453.277778252959, 154.083332411945
Chile , 248, 247, 248.277781307697, 246.83333517611
China , 649, 113, 649.166658520699, 112.861109882593
Colombia , 246, 177, 245.99999755621, 176.755555355921
Comoros , 511, 210, 510.79166829586, 210.076851278543
Congo, Dem. Rep., 467, 185, 466.944447159767, 185
Congo, Rep., 444, 187, 444.166667684913, 187.06111116102
Costa Rica , 219, 164, 218.66666585207, 164.388888735324
Côte dIvoire , 399, 169, 398.611111026257, 168.511110711843
Croatia , 445, 92, 445.305556505919, 91.9064805805683
Cuba , 228, 141, 227.777776420116, 140.686110988259
Cyprus , 485, 113, 485.16666829586, 112.861109882593
Czech Republic , 445, 82, 445.305556505919, 82.459724187851
Denmark , 433, 70, 432.777777947485, 69.5777736008167
Djibouti , 508, 161, 507.944444715977, 161.297220870852
Dominica , 270, 153, 270.296296477318, 153.224536627531
Dominican Republic , 249, 146, 249.037042558193, 145.838888458908
Ecuador , 233, 189, 233.472223579884, 189.122222322039
Egypt, Arab Rep., 478, 129, 478.333335369825, 129.349997788668
El Salvador , 207, 156, 207.467592954636, 156.487962819636
Equatorial Guinea , 433, 181, 432.777777947485, 180.877777677961
Eritrea , 499, 154, 498.83333414793, 154.083332411945
Estonia , 469, 63, 469.222224801779, 63.3944461643696
Ethiopia , 497, 169, 496.555556505919, 168.511110711843
Fiji , 809, 222, 808.611105680466, 222.100000552833
Finland , 469, 53, 469.222224801779, 53.0888856947422
France , 415, 187, 414.555555665866, 186.580185252242
French Polynesia , 91, 216, 91.1111056804657, 215.916667588055
Gabon , 437, 187, 436.763888821006, 187.06111116102
Gambia, The, 372, 157, 372.264814823866, 157.243704989552
Georgia , 509, 98, 509.083330482244, 98.4333329647779
Germany , 431, 80, 430.500000305474, 79.8833340704441
Ghana , 405, 169, 405.444444334134, 168.511110711843
Greece , 460, 105, 460.111111178994, 104.616665929556
Grenada , 270, 160, 269.537035226822, 160.026202335954
Guam , 740, 157, 739.784265160561, 157.243704989552
Guatemala , 204, 153, 204.430547952652, 153.052776917815
Guinea , 387, 162, 387.222222052515, 162.327777747065
Guinea-Bissau , 376, 160, 375.833332315087, 160.266665376723
Guyana , 276, 175, 275.611113011837, 174.694444367662
Haiti , 245, 146, 245.050927102566, 145.838888458908
Honduras , 213, 154, 212.972218692303, 154.083332411945
Hong Kong SAR, China, 670, 139, 670.04630625248, 139.140279129148
Hungary , 456, 88, 455.555555894971, 88.1277780234814
Iceland , 369, 51, 368.999999389052, 51.0277802348137
India , 585, 144, 585.388884544373, 143.777777470648
Indonesia , 683, 195, 683.333341479301, 195.305555632338
Iran, Islamic Rep., 531, 119, 530.722221136093, 119.044442847371
Iraq , 510, 117, 510.222222357988, 116.983331859112
Ireland , 392, 76, 391.777777336538, 75.7611120939255
Israel , 489, 120, 489.152777642012, 120.075001105666
Italy , 439, 97, 439.231481775641, 96.7157413959503
Jamaica , 233, 147, 233.472223579884, 147.384723082185
Japan , 724, 111, 724.333326816559, 110.799998894334
Jordan , 492, 121, 492.000001221895, 121.10555383563
Kazakhstan , 565, 86, 564.888891875744, 86.0666615068913
Kenya , 497, 183, 496.555556505919, 182.93888883898
Kiribati , 804, 182, 804.055562615395, 182.080092536286
Kuwait , 514, 124, 514.20833170414, 124.197223082185
Kyrgyzstan , 581, 100, 580.833329260349, 100.494443953037
Laos , 649, 148, 649.166658520699, 147.899999447167
Latvia , 467, 68, 466.944447159767, 67.5166681408882
Lebanon , 492, 115, 491.620370596647, 115.265740290284
Lesotho , 475, 246, 474.91666585207, 245.802776917815
Liberia , 388, 172, 388.36111087352, 171.602777194232
Libya , 449, 133, 448.722222968936, 133.472219765186
